issueNumber,repository,title,state,projectStatus,auditBucket,auditConfidence,suggestedOwnerArea,needsHumanReview,labels,assignees,milestone,suggestedAction,auditReason,codeSearchTerms,issueUrl
27,AV-EFI/AVefi-Issues,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich Feedback zu Suchergebnissen (z. B. Relevanz, Genauigkeit) geben können  (User Story ID 35)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,COULDHAVE; Hilfe Feedback Kommunikation,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hilfe; feedback; kommunikation; benutzer; suchergebnissen; relevanz; genauigkeit; geben; können; couldhave,https://github.com/AV-EFI/AVefi-Issues/issues/27
28,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich einen existierenden Film unsichtbar machen / entfernen  (User Story ID 11),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,COULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; existierenden; unsichtbar; machen; entfernen; couldhave,https://github.com/AV-EFI/AVefi-Issues/issues/28
224,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich gezielt nach Filmen suchen können  (User Story ID 2),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmrecherche; benutzer; gezielt; filmen; suchen; können,https://github.com/AV-EFI/AVefi-Issues/issues/224
56,AV-EFI/AVefi-Issues,"Als Benutzer*in möchte ich direkt sehen, ob ein Exemplar online verfügbar ist",CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,MUSTHAVE; Filmanzeige,steffolino; EOltmanns; tennismann3000,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,benutzer; direkt; sehen; exemplar; online; verfügbar; musthave; filmanzeige,https://github.com/AV-EFI/AVefi-Issues/issues/56
57,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich gezielt nach Filmen suchen können  (User Story ID 2),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,MUSTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; gezielt; filmen; suchen; können; musthave,https://github.com/AV-EFI/AVefi-Issues/issues/57
64,AV-EFI/AVefi-Issues,Facetten finalisieren (Filmrecherche),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,MUSTHAVE; Filmrecherche,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,facetten; finalisieren; filmrecherche; musthave,https://github.com/AV-EFI/AVefi-Issues/issues/64
65,AV-EFI/AVefi-Issues,Sortierung in der Suche,OPEN,Backlog,backend_or_data_needed,medium,Backend/API/indexing,true,Filmrecherche,steffolino; EOltmanns; tennismann3000,Public Release,Assign backend/data owner or confirm frontend dependency.,"Backend, data, API, indexing, or schema terminology detected.",sortierung; suche; filmrecherche,https://github.com/AV-EFI/AVefi-Issues/issues/65
66,AV-EFI/AVefi-Issues,Trefferlisten-Preview verbessern,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,MUSTHAVE; Filmrecherche,steffolino; tennismann3000,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,trefferlisten-preview; verbessern; musthave; filmrecherche,https://github.com/AV-EFI/AVefi-Issues/issues/66
149,AV-EFI/AVefi-Issues,LIC-01: Rechte- und Lizenzinformationen global sichtbar machen,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,UserStory; Frontend; Epic:Lizenzen,tennismann3000,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,lic-01; rechte-; lizenzinformationen; global; sichtbar; machen; userstory; frontend; lizenzen,https://github.com/AV-EFI/AVefi-Issues/issues/149
126,AV-EFI/AVefi-Issues,NC-08: Navigation zwischen Manifestationen im Split-View,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-08; navigation; zwischen; manifestationen; split-view; userstory; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/126
127,AV-EFI/AVefi-Issues,NC-09: URL-Struktur für Navigation vereinheitlichen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; Backend; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-09; url-struktur; navigation; vereinheitlichen; userstory; backend; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/127
128,AV-EFI/AVefi-Issues,NC-10: Navigation zwischen Suchtrefferliste und Detailansicht optimieren,OPEN,,qa_or_acceptance_needed,medium,Accessibility/QA,true,UserStory; Frontend; Epic:Navigation,steffolino; tennismann3000,Public Release,Add verification criteria or test coverage expectations.,QA/test/accessibility terminology detected. Missing project status.,nc-10; navigation; zwischen; suchtrefferliste; detailansicht; optimieren; userstory; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/128
129,AV-EFI/AVefi-Issues,RD-01: Rollen- & Rechteverwaltung für redaktionelle Funktionen implementieren,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; Epic:Redaktion,steffolino; EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,rd-01; rollen-; rechteverwaltung; redaktionelle; funktionen; implementieren; shouldhave; userstory; backend; redaktion,https://github.com/AV-EFI/AVefi-Issues/issues/129
130,AV-EFI/AVefi-Issues,RD-02: Änderungs- und Versionshistorie für alle redaktionellen Eingriffe,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; Epic:Redaktion,steffolino; EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,rd-02; änderungs-; versionshistorie; redaktionellen; eingriffe; shouldhave; userstory; backend; redaktion,https://github.com/AV-EFI/AVefi-Issues/issues/130
131,AV-EFI/AVefi-Issues,RD-03: Konflikt-Handling bei paralleler Bearbeitung,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; UNSCHARF; Epic:Redaktion,steffolino; EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,rd-03; konflikt-handling; paralleler; bearbeitung; userstory; backend; unscharf; redaktion,https://github.com/AV-EFI/AVefi-Issues/issues/131
132,AV-EFI/AVefi-Issues,"RD-04: Redaktionsmodus für Werk-, Manifestations- und Item-Metadaten",OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Frontend; Epic:Redaktion,steffolino; EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,rd-04; redaktionsmodus; werk-; manifestations-; item-metadaten; userstory; frontend; redaktion,https://github.com/AV-EFI/AVefi-Issues/issues/132
133,AV-EFI/AVefi-Issues,RD-05: Validierungslogik für Pflicht- und Qualitätsfelder,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; Epic:Redaktion; Datenqualität,steffolino; EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,rd-05; validierungslogik; pflicht-; qualitätsfelder; userstory; backend; redaktion; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/133
136,AV-EFI/AVefi-Issues,BR-01: Benutzerverwaltung – Rollen müssen definierbar und zuweisbar sein,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-01; benutzerverwaltung; rollen; müssen; definierbar; zuweisbar; shouldhave; userstory; backend; benutzerrollenredaktion,https://github.com/AV-EFI/AVefi-Issues/issues/136
138,AV-EFI/AVefi-Issues,BR-03: Redakteure müssen Metadatensätze bearbeiten können (Werk/Manifestation/Item),OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; UNSCHARF; Frontend; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-03; redakteure; müssen; metadatensätze; bearbeiten; können; manifestation; userstory; backend; unscharf,https://github.com/AV-EFI/AVefi-Issues/issues/138
139,AV-EFI/AVefi-Issues,BR-04: Änderungen an Metadaten müssen revisionssicher gespeichert werden,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-04; änderungen; metadaten; müssen; revisionssicher; gespeichert; werden; userstory; backend; benutzerrollenredaktion,https://github.com/AV-EFI/AVefi-Issues/issues/139
140,AV-EFI/AVefi-Issues,BR-05: Redaktioneller Freigabeprozess (Review → Approve → Publish),OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; UNSCHARF; Frontend; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-05; redaktioneller; freigabeprozess; review; approve; publish; userstory; backend; unscharf; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/140
141,AV-EFI/AVefi-Issues,BR-06: Nutzerprofil – Basisdaten einsehen & bearbeiten,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Frontend; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-06; nutzerprofil; basisdaten; einsehen; bearbeiten; userstory; frontend; benutzerrollenredaktion,https://github.com/AV-EFI/AVefi-Issues/issues/141
143,AV-EFI/AVefi-Issues,BR-08: Aktivitätslog für redaktionelle Aktionen,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-08; aktivitätslog; redaktionelle; aktionen; userstory; backend; benutzerrollenredaktion,https://github.com/AV-EFI/AVefi-Issues/issues/143
144,AV-EFI/AVefi-Issues,BR-09: Zugriff auf interne Funktionen muss klar geregelt und geprüft sein,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; Technical-Blocker; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-09; zugriff; interne; funktionen; geregelt; geprüft; shouldhave; userstory; backend; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/144
134,AV-EFI/AVefi-Issues,RD-06: Redaktions-Dashboard für offene Aufgaben und Qualitätsprobleme,OPEN,,duplicate_candidate,medium,Product/domain decision,true,B L O C K E D; UserStory; Frontend; Epic:Redaktion,steffolino; EOltmanns,,Find and link likely canonical issue before closing or merging.,"Duplicate/dublette signal found in title, body, or labels. Missing project status. Missing milestone.",rd-06; redaktions-dashboard; offene; aufgaben; qualitätsprobleme; userstory; frontend; redaktion,https://github.com/AV-EFI/AVefi-Issues/issues/134
145,AV-EFI/AVefi-Issues,RECS-01: Ähnliche Filme algorithmisch bestimmen (Basislogik),OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Backend; UNSCHARF; Epic:Recommendations,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,recs-01; ähnliche; filme; algorithmisch; bestimmen; basislogik; userstory; backend; unscharf; recommendations,https://github.com/AV-EFI/AVefi-Issues/issues/145
146,AV-EFI/AVefi-Issues,RECS-02: Ähnliche Filme in der Werkansicht anzeigen,OPEN,,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; UserStory; Frontend; Epic:Recommendations,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,recs-02; ähnliche; filme; werkansicht; anzeigen; userstory; frontend; recommendations,https://github.com/AV-EFI/AVefi-Issues/issues/146
147,AV-EFI/AVefi-Issues,RECS-03: Ähnlichkeitskriterien transparent darstellen,OPEN,,backend_or_data_needed,medium,Backend/API/indexing,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; UNSCHARF; Frontend; Epic:Recommendations,EOltmanns,,Assign backend/data owner or confirm frontend dependency.,"Backend, data, API, indexing, or schema terminology detected. Missing project status. Missing milestone.",recs-03; ähnlichkeitskriterien; transparent; darstellen; shouldhave; userstory; backend; unscharf; frontend; recommendations,https://github.com/AV-EFI/AVefi-Issues/issues/147
148,AV-EFI/AVefi-Issues,RECS-04: API-Endpoint für Recommendations bereitstellen,OPEN,,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE; UserStory; Backend; Epic:Recommendations,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,recs-04; api-endpoint; recommendations; bereitstellen; shouldhave; userstory; backend,https://github.com/AV-EFI/AVefi-Issues/issues/148
150,AV-EFI/AVefi-Issues,"EXPORT-01: Exportfunktionen für Werk-, Manifestations- und Item-Daten definieren und vereinheitlichen",OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; Backend; UNSCHARF; Frontend; Epic:Exporte,JStratil; tennismann3000; C-Stemmler,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,export-01; exportfunktionen; werk-; manifestations-; item-daten; definieren; vereinheitlichen; userstory; backend; unscharf,https://github.com/AV-EFI/AVefi-Issues/issues/150
151,AV-EFI/AVefi-Issues,DQ-09: Harmonisierung von Genre „Dokumentation“ / „Documentary“,OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; Backend; UNSCHARF; Frontend; Epic:Datenqualität,tennismann3000,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,dq-09; harmonisierung; genre; dokumentation; documentary; userstory; backend; unscharf; frontend; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/151
153,AV-EFI/AVefi-Issues,BR-10: Bereitstellung GWDG Keycloak,OPEN,,domain_logic_needed,medium,Product/domain decision,true,UserStory; Backend; Technical-Blocker; Epic:BenutzerRollenRedaktion,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,br-10; bereitstellung; keycloak; userstory; backend; technical-blocker; benutzerrollenredaktion,https://github.com/AV-EFI/AVefi-Issues/issues/153
154,AV-EFI/AVefi-Issues,FI-05: Match & Merge um Backend bereitstellen,OPEN,,needs_clarification,medium,Product/domain decision,true,SHOULDHAVE; Filmidentifikatorenansicht & Redaktionssystem; Epic:Filmidentifikatoren,EOltmanns,,Rewrite with acceptance criteria or ask for clarification.,Issue has little or no descriptive body/title content. Missing project status. Missing milestone.,fi-05; match; merge; backend; bereitstellen; shouldhave; filmidentifikatorenansicht; redaktionssystem; filmidentifikatoren,https://github.com/AV-EFI/AVefi-Issues/issues/154
93,AV-EFI/AVefi-Issues,FI-01: Duplikate von Filmen erkennen und anzeigen,OPEN,,duplicate_candidate,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; UserStory; Backend; UNSCHARF; Epic:Filmidentifikatoren,EOltmanns,,Find and link likely canonical issue before closing or merging.,"Duplicate/dublette signal found in title, body, or labels. Missing project status. Missing milestone.",fi-01; duplikate; filmen; erkennen; anzeigen; shouldhave; userstory; backend; unscharf; filmidentifikatoren,https://github.com/AV-EFI/AVefi-Issues/issues/93
94,AV-EFI/AVefi-Issues,DQ-01: Vollständigkeitsindikator auf Werk-Ebene anzeigen,OPEN,,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE; UserStory; Frontend; Epic:Datenqualität,EOltmanns; tennismann3000; C-Stemmler,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,dq-01; vollständigkeitsindikator; werk-ebene; anzeigen; shouldhave; userstory; frontend; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/94
95,AV-EFI/AVefi-Issues,DQ-02: Vollständigkeitsindikator auf Manifestationsebene anzeigen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; UserStory; Frontend; Epic:Datenqualität,steffolino; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,dq-02; vollständigkeitsindikator; manifestationsebene; anzeigen; shouldhave; userstory; frontend; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/95
96,AV-EFI/AVefi-Issues,DQ-03: Vollständigkeitsindikator auf Item-Ebene anzeigen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; UserStory; Frontend; Epic:Datenqualität,steffolino; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,dq-03; vollständigkeitsindikator; item-ebene; anzeigen; shouldhave; userstory; frontend; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/96
97,AV-EFI/AVefi-Issues,"DQ-04: Fehlende Felder pro Ebene anzeigen (Werk, Manifestation, Item)",CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,MUSTHAVE; UserStory; Frontend; Epic:Datenqualität,steffolino; tennismann3000,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,dq-04; fehlende; felder; ebene; anzeigen; manifestation; musthave; userstory; frontend; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/97
98,AV-EFI/AVefi-Issues,DQ-05: Einheitliches Farbsystem für Datenvollständigkeit definieren,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,SHOULDHAVE; UserStory; UNSCHARF; Frontend; Accessibility; Epic:Datenqualität,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,dq-05; einheitliches; farbsystem; datenvollständigkeit; definieren; shouldhave; userstory; unscharf; frontend; accessibility,https://github.com/AV-EFI/AVefi-Issues/issues/98
99,AV-EFI/AVefi-Issues,DQ-06: Fehlende Pflichtfelder beim Import/Sync erkennen und markieren,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,UserStory; Backend; UNSCHARF; Epic:Datenqualität,EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,dq-06; fehlende; pflichtfelder; import; erkennen; markieren; userstory; backend; unscharf; datenqualität,https://github.com/AV-EFI/AVefi-Issues/issues/99
101,AV-EFI/AVefi-Issues,DQ-08: Datenqualität als Facetten-Filter anbieten,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; UNSCHARF; Search,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,dq-08; datenqualität; facetten-filter; anbieten; shouldhave; unscharf; search,https://github.com/AV-EFI/AVefi-Issues/issues/101
102,AV-EFI/AVefi-Issues,HS-01: Herkunft und Herausgeber eines Film-Metadatensatzes klar anzeigen,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,UserStory; Frontend; Epic:Herausgeber,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hs-01; herkunft; herausgeber; film-metadatensatzes; anzeigen; userstory; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/102
104,AV-EFI/AVefi-Issues,HS-02: Übersicht aller Datenquellen (Herausgeber) bereitstellen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; UNSCHARF; Frontend; Epic:Herausgeber,tennismann3000,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hs-02; übersicht; aller; datenquellen; herausgeber; bereitstellen; userstory; unscharf; frontend,https://github.com/AV-EFI/AVefi-Issues/issues/104
105,AV-EFI/AVefi-Issues,HS-03: Filter nach herausgebender Institution ermöglichen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,MUSTHAVE; UserStory; Search; Epic:Herausgeber,tennismann3000,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hs-03; filter; herausgebender; institution; ermöglichen; musthave; userstory; search; herausgeber,https://github.com/AV-EFI/AVefi-Issues/issues/105
106,AV-EFI/AVefi-Issues,HS-04: Herausgeber-Badge in Trefferliste anzeigen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; Frontend; Epic:Herausgeber,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hs-04; herausgeber-badge; trefferliste; anzeigen; userstory; frontend; herausgeber,https://github.com/AV-EFI/AVefi-Issues/issues/106
107,AV-EFI/AVefi-Issues,HS-05: Herausgeber-Informationen müssen mehrsprachig dargestellt werden,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,UserStory; Frontend; Epic:Herausgeber,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hs-05; herausgeber-informationen; müssen; mehrsprachig; dargestellt; werden; userstory; frontend; herausgeber,https://github.com/AV-EFI/AVefi-Issues/issues/107
108,AV-EFI/AVefi-Issues,LG-01: Oberfläche vollständig mehrsprachig darstellen (Frontend),CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,MUSTHAVE; UserStory; Frontend; Epic:Mehrsprachigkeit,JStratil; EOltmanns; C-Stemmler,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,lg-01; oberfläche; vollständig; mehrsprachig; darstellen; frontend; musthave; userstory; mehrsprachigkeit,https://github.com/AV-EFI/AVefi-Issues/issues/108
109,AV-EFI/AVefi-Issues,LG-02: Mehrsprachige Anzeige von Titeln und Metadaten,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,MUSTHAVE; UserStory; Frontend; Epic:Mehrsprachigkeit,steffolino; JStratil; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,lg-02; mehrsprachige; anzeige; titeln; metadaten; musthave; userstory; frontend; mehrsprachigkeit,https://github.com/AV-EFI/AVefi-Issues/issues/109
111,AV-EFI/AVefi-Issues,"LG-04: Mehrsprachige Tooltips, Hinweise und Glossar-Integration",CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,SHOULDHAVE; UserStory; Frontend; Epic:Mehrsprachigkeit,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,lg-04; mehrsprachige; tooltips; hinweise; glossar-integration; shouldhave; userstory; frontend; mehrsprachigkeit,https://github.com/AV-EFI/AVefi-Issues/issues/111
112,AV-EFI/AVefi-Issues,LG-05: Sprachabhängige Darstellung von exemplarischen Datenquellen,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,MUSTHAVE; UserStory; UNSCHARF; Epic:Mehrsprachigkeit,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,lg-05; sprachabhängige; darstellung; exemplarischen; datenquellen; musthave; userstory; unscharf; mehrsprachigkeit,https://github.com/AV-EFI/AVefi-Issues/issues/112
119,AV-EFI/AVefi-Issues,NC-01: Rücksprung zur Suche muss ursprünglichen Zustand herstellen,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,SHOULDHAVE; UserStory; Frontend; Epic:Navigation,tennismann3000,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-01; rücksprung; suche; ursprünglichen; zustand; herstellen; shouldhave; userstory; frontend; navigation,https://github.com/AV-EFI/AVefi-Issues/issues/119
120,AV-EFI/AVefi-Issues,NC-02: Breadcrumb zwischen Werk → Manifestation → Item,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-02; breadcrumb; zwischen; manifestation; userstory; frontend; navigation,https://github.com/AV-EFI/AVefi-Issues/issues/120
121,AV-EFI/AVefi-Issues,NC-03: Seitenwechsel darf Filter & Scrollposition nicht verlieren,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-03; seitenwechsel; filter; scrollposition; nicht; verlieren; userstory; frontend; navigation,https://github.com/AV-EFI/AVefi-Issues/issues/121
122,AV-EFI/AVefi-Issues,NC-04: Tektonik-Navigation muss stabil und konsistent funktionieren,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; UNSCHARF; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-04; tektonik-navigation; stabil; konsistent; funktionieren; userstory; unscharf; frontend; navigation,https://github.com/AV-EFI/AVefi-Issues/issues/122
123,AV-EFI/AVefi-Issues,NC-05: Persistent Tabs auf Werk- und Manifestationsebene,CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,UserStory; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-05; persistent; werk-; manifestationsebene; userstory; frontend; navigation,https://github.com/AV-EFI/AVefi-Issues/issues/123
124,AV-EFI/AVefi-Issues,NC-06: Navigation muss für Screenreader nachvollziehbar sein (A11y),CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,UserStory; Accessibility; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-06; navigation; screenreader; nachvollziehbar; userstory; accessibility,https://github.com/AV-EFI/AVefi-Issues/issues/124
125,AV-EFI/AVefi-Issues,NC-07: „Im neuen Tab öffnen“ klar anbieten,CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,UserStory; Frontend; Epic:Navigation,steffolino,Public Release,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done.,nc-07; neuen; öffnen; anbieten; userstory; frontend; navigation,https://github.com/AV-EFI/AVefi-Issues/issues/125
75,AV-EFI/AVefi-Issues,PID-01: PID für einen Film-Metadatensatz registrieren,OPEN,,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE; UserStory; Epic:PID-Verwaltung; Backend; Technical-Blocker,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing project status. Missing milestone.,pid-01; film-metadatensatz; registrieren; shouldhave; userstory; pid-verwaltung; backend; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/75
